Faculty Employee ID,Faculty Name,Academic Year,College,Title,DOI,Conference Name,"Level
(National/international)
",Year Of Publication,Month Of Publication,ISSN/ISBN,Publisher,Indexing,Total Authors,Faculty Author Position,"Aditya Co-author positions ( if existing )
Emp Id only",,,,,,,
,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8
6170, M. Sai Chaithanya,2025-2026,AUS,Experimental analysis and computation of confined equations for pretensioned iron pipe compression concrete stub columns,10.1117/12.3082286,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication (ICMSCE 2025)",International,2025,September,ISBN: 978-1-5106-9819-2,International Society for Optics and Photonics,Scopus,4,3,,,,,,,,
5306, N. Bhaskara Rao,2025-2026,AUS,"Exploring the mechanical, thermal, and structural attributes of pithecellobium dulce fiber for green composite reinforcement.",10.1117/12.3082277,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication
(ICMSCE 2025)",International,2025,September,ISBN: 978-1-5106-9819-2,International Society for Optics and Photonics,Scopus,5,3,,,,,,,,
5306,N. Bhaskara Rao,2025-2026,AUS,Tribological assessment of CuZn40Pb3 alloy under vacuum and ambient conditions: Influence of contact stress on wear mechanisms.,doi.org/10.1117/12.3082250,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication
(ICMSCE 2025)",International,2025,September,ISBN: 978-1-5106-9819-2,International Society for Optics and Photonics,Scopus,5,3,,,,,,,,
6100,T. Suman Kumar,2025-2026,AUS,"Experimental investigation on 3D printed polymer matrix composites for enhanced tensile strength, hardness, and flexural properties",10.1117/12.3082239,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication (ICMSCE 2025)",International,2025,September,ISBN: 978-1-5106-9819-2,International Society for Optics and Photonics,Scopus,5,3,,,,,,,,
6100,T. Suman Kumar,2025-2026,AUS,Moisture interaction and wetting behavior of natural and synthetic fibrous insulation materials,doi.org/10.1117/12.3082240,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication (ICMSCE 2025)",International,2025,September,ISBN: 978-1-5106-9819-2,International Society for Optics and Photonics,Scopus,4,3,,,,,,,,
5404,Mr. Maheshwara Rao,2025-2026,AUS,"Choosing the most efficacious weatherproof epithelial alternate
solution for multipurpose tilted rooftops",https://doi.org/10.1117/12.3082241,"SPIE Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication, 2025, Istanbul, Turkey",International,2025,October ,978-1-5106-9819-2,"Proceedings of SPIE, Volume 13941",Scopus,4,3,,,,,,,,
5404,Mr. Maheshwara Rao,2025-2026,AUS,Examining the fatigue behaviour of bituminous adhesives and mixtures using date fruit soot,https://doi.org/10.1117/12.3082296,"International Conference on Mathematical and Statistical Physics, Computational Science, Education, and Communication (ICMSCE 2025), 139410G (27 Oct 2025);",International,2025,October ,,"Proceedings of SPIE, Volume 13941",Scopus,5,3,,,,,,,,
4543,Mr. George Ferdandez,2025-2026,AUS,Automated Bowel Sound Diagnosis Using Hybrid Neural Networks and Night-Time Contact Microphone Data,10.1109/IC-EETA66496.2025.11548332,"Proceedings of IEEE International Conference on Emerging Engineering Technologies and Applications, IC-EETA 2025",International,2025,November,979-833159566-1,Proceedings of IEEE International Conference,Scopus,6,5,,,,,,,,
5360,Mr. Anusha,2025-2026,AUS,Exploring the relationship between microstructure and mechanical properties in advanced materials,https://doi.org/10.1063/5.0298054,"CONFERENCE ON ADVANCEMENTS IN SUSTAINABLE ENERGY, MATERIALS, AND MANUFACTURING TECHNOLOGY: ICASMMT2024",International,2025,September,ISSN 1551-7616,AIP Conference Proceedings,Scopus,6,2,,,,,,,,
