Roll No,Dept
19A91A0341,MEC
20A91A03D7,MEC
20A91A0546,CSE
21A91A0193,CIV
21A91A0547,CSE
21A91A2601,ME
21A91A3510,AG
22A91A0101,CIV
22A91A0102,CIV
22A91A0103,CIV
22A91A0104,CIV
22A91A0105,CIV
22A91A0106,CIV
22A91A0107,CIV
22A91A0108,CIV
22A91A0109,CIV
22A91A0110,CIV
22A91A0111,CIV
22A91A0112,CIV
22A91A0113,CIV
22A91A0114,CIV
22A91A0115,CIV
22A91A0116,CIV
22A91A0117,CIV
22A91A0118,CIV
22A91A0120,CIV
22A91A0121,CIV
22A91A0122,CIV
22A91A0123,CIV
22A91A0124,CIV
22A91A0125,CIV
22A91A0126,CIV
22A91A0127,CIV
22A91A0128,CIV
22A91A0129,CIV
22A91A0131,CIV
22A91A0132,CIV
22A91A0133,CIV
22A91A0134,CIV
22A91A0135,CIV
22A91A0136,CIV
22A91A0137,CIV
22A91A0138,CIV
22A91A0139,CIV
22A91A0140,CIV
22A91A0141,CIV
22A91A0142,CIV
22A91A0143,CIV
22A91A0144,CIV
22A91A0145,CIV
22A91A0146,CIV
22A91A0147,CIV
22A91A0148,CIV
22A91A0201,EEE
22A91A0202,EEE
22A91A0204,EEE
22A91A0206,EEE
22A91A0207,EEE
22A91A0208,EEE
22A91A0209,EEE
22A91A0210,EEE
22A91A0211,EEE
22A91A0212,EEE
22A91A0213,EEE
22A91A0214,EEE
22A91A0215,EEE
22A91A0216,EEE
22A91A0217,EEE
22A91A0218,EEE
22A91A0219,EEE
22A91A0220,EEE
22A91A0222,EEE
22A91A0223,EEE
22A91A0224,EEE
22A91A0225,EEE
22A91A0226,EEE
22A91A0227,EEE
22A91A0228,EEE
22A91A0229,EEE
22A91A0230,EEE
22A91A0231,EEE
22A91A0232,EEE
22A91A0233,EEE
22A91A0235,EEE
22A91A0236,EEE
22A91A0237,EEE
22A91A0238,EEE
22A91A0239,EEE
22A91A0240,EEE
22A91A0241,EEE
22A91A0242,EEE
22A91A0243,EEE
22A91A0244,EEE
22A91A0245,EEE
22A91A0246,EEE
22A91A0248,EEE
22A91A0249,EEE
22A91A0250,EEE
22A91A0251,EEE
22A91A0252,EEE
22A91A0253,EEE
22A91A0254,EEE
22A91A0255,EEE
22A91A0256,EEE
22A91A0257,EEE
22A91A0258,EEE
22A91A0259,EEE
22A91A0261,EEE
22A91A0301,MEC
22A91A0302,MEC
22A91A0303,MEC
22A91A0304,MEC
22A91A0305,MEC
22A91A0306,MEC
22A91A0308,MEC
22A91A0309,MEC
22A91A0310,MEC
22A91A0311,MEC
22A91A0312,MEC
22A91A0313,MEC
22A91A0314,MEC
22A91A0315,MEC
22A91A0316,MEC
22A91A0317,MEC
22A91A0318,MEC
22A91A0319,MEC
22A91A0320,MEC
22A91A0321,MEC
22A91A0322,MEC
22A91A0323,MEC
22A91A0324,MEC
22A91A0325,MEC
22A91A0326,MEC
22A91A0328,MEC
22A91A0329,MEC
22A91A0330,MEC
22A91A0331,MEC
22A91A0332,MEC
22A91A0333,MEC
